[2026-02-01 07:20] Model: trial_70 | Dataset: mnli | Acc: 0.5964 | F1-Macro: 0.5948
[2026-02-01 09:30] Model: trial_72 | Dataset: sst2 | Acc: 0.8521 | F1-Macro: 0.8491
[2026-02-01 09:30] Model: trial_72 | Dataset: ag-news | Acc: 0.9233 | F1-Macro: 0.9234
[2026-02-01 09:30] Model: trial_72 | Dataset: mnli | Acc: 0.6026 | F1-Macro: 0.6019
[2026-02-01 09:33] Model: trial_73 | Dataset: sst2 | Acc: 0.8498 | F1-Macro: 0.8466
[2026-02-01 09:33] Model: trial_73 | Dataset: ag-news | Acc: 0.9159 | F1-Macro: 0.9161
[2026-02-01 09:33] Model: trial_73 | Dataset: mnli | Acc: 0.6430 | F1-Macro: 0.6444
[2026-02-01 09:36] Model: trial_74 | Dataset: sst2 | Acc: 0.8429 | F1-Macro: 0.8389
[2026-02-01 09:36] Model: trial_74 | Dataset: ag-news | Acc: 0.9132 | F1-Macro: 0.9134
[2026-02-01 09:36] Model: trial_74 | Dataset: mnli | Acc: 0.6482 | F1-Macro: 0.6496
[2026-02-01 09:39] Model: trial_75 | Dataset: sst2 | Acc: 0.8612 | F1-Macro: 0.8589
[2026-02-01 09:39] Model: trial_75 | Dataset: ag-news | Acc: 0.9091 | F1-Macro: 0.9094
[2026-02-01 09:39] Model: trial_75 | Dataset: mnli | Acc: 0.6444 | F1-Macro: 0.6460
[2026-02-01 09:42] Model: trial_76 | Dataset: sst2 | Acc: 0.8578 | F1-Macro: 0.8552
[2026-02-01 09:42] Model: trial_76 | Dataset: ag-news | Acc: 0.9296 | F1-Macro: 0.9296
[2026-02-01 09:42] Model: trial_76 | Dataset: mnli | Acc: 0.5364 | F1-Macro: 0.5310
[2026-02-01 09:45] Model: trial_77 | Dataset: sst2 | Acc: 0.8521 | F1-Macro: 0.8491
[2026-02-01 09:45] Model: trial_77 | Dataset: ag-news | Acc: 0.9208 | F1-Macro: 0.9209
[2026-02-01 09:45] Model: trial_77 | Dataset: mnli | Acc: 0.6237 | F1-Macro: 0.6244
[2026-02-01 09:48] Model: trial_78 | Dataset: sst2 | Acc: 0.8452 | F1-Macro: 0.8415
[2026-02-01 09:48] Model: trial_78 | Dataset: ag-news | Acc: 0.9097 | F1-Macro: 0.9100
[2026-02-01 09:48] Model: trial_78 | Dataset: mnli | Acc: 0.6591 | F1-Macro: 0.6612
[2026-02-01 09:51] Model: trial_79 | Dataset: sst2 | Acc: 0.8177 | F1-Macro: 0.8116
[2026-02-01 09:51] Model: trial_79 | Dataset: ag-news | Acc: 0.9218 | F1-Macro: 0.9220
[2026-02-01 09:51] Model: trial_79 | Dataset: mnli | Acc: 0.6452 | F1-Macro: 0.6466
[2026-02-01 09:54] Model: trial_80 | Dataset: sst2 | Acc: 0.7018 | F1-Macro: 0.6712
[2026-02-01 09:54] Model: trial_80 | Dataset: ag-news | Acc: 0.9326 | F1-Macro: 0.9326
[2026-02-01 09:54] Model: trial_80 | Dataset: mnli | Acc: 0.5737 | F1-Macro: 0.5695
